2026-02-18 07:53:09,785 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2026-02-18 07:53:09,785 [main] INFO  marytts.Prosody Starting power-on self test.
2026-02-18 07:53:09,785 [main] INFO  marytts.Prosody Power-on self test complete.
2026-02-18 07:53:09,785 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale te).
2026-02-18 07:53:09,785 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2026-02-18 07:53:09,785 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2026-02-18 07:53:09,785 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale en).
2026-02-18 07:53:09,791 [main] INFO  marytts.JTokeniser Starting power-on self test.
2026-02-18 07:53:09,791 [main] INFO  marytts.JTokeniser Power-on self test complete.
2026-02-18 07:53:09,791 [main] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale en).
2026-02-18 07:53:09,792 [main] INFO  marytts.Preprocess Starting power-on self test.
2026-02-18 07:53:09,792 [main] INFO  marytts.Preprocess Power-on self test complete.
2026-02-18 07:53:09,792 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_US).
2026-02-18 07:53:09,792 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2026-02-18 07:53:09,792 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2026-02-18 07:53:09,792 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_GB).
2026-02-18 07:53:09,792 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2026-02-18 07:53:09,792 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2026-02-18 07:53:09,794 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale en).
2026-02-18 07:53:09,794 [main] INFO  marytts.Prosody Starting power-on self test.
2026-02-18 07:53:09,794 [main] INFO  marytts.Prosody Power-on self test complete.
2026-02-18 07:53:09,794 [main] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale en_US).
2026-02-18 07:53:09,794 [main] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
2026-02-18 07:53:09,796 [main] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2026-02-18 07:53:09,796 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale en).
2026-02-18 07:53:09,796 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2026-02-18 07:53:09,796 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2026-02-18 07:53:09,796 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale en).
2026-02-18 07:53:10,025 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2026-02-18 07:53:10,025 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2026-02-18 07:53:10,025 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale ru).
2026-02-18 07:53:10,033 [main] INFO  marytts.JTokeniser Starting power-on self test.
2026-02-18 07:53:10,033 [main] INFO  marytts.JTokeniser Power-on self test complete.
2026-02-18 07:53:10,033 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2026-02-18 07:53:10,033 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2026-02-18 07:53:10,033 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2026-02-18 07:53:10,033 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale ru).
2026-02-18 07:53:10,033 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2026-02-18 07:53:10,035 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2026-02-18 07:53:10,035 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2026-02-18 07:53:10,035 [main] INFO  marytts.Prosody Starting power-on self test.
2026-02-18 07:53:10,035 [main] INFO  marytts.Prosody Power-on self test complete.
2026-02-18 07:53:10,037 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale ru).
2026-02-18 07:53:10,037 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2026-02-18 07:53:10,037 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2026-02-18 07:53:10,037 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale de).
2026-02-18 07:53:10,042 [main] INFO  marytts.JTokeniser Starting power-on self test.
2026-02-18 07:53:10,043 [main] INFO  marytts.JTokeniser Power-on self test complete.
2026-02-18 07:53:10,043 [main] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale de).
2026-02-18 07:53:10,043 [main] INFO  marytts.Preprocess Starting power-on self test.
2026-02-18 07:53:10,043 [main] INFO  marytts.Preprocess Expanding say-as elements...
2026-02-18 07:53:10,043 [main] INFO  marytts.Preprocess Matching and expanding patterns...
2026-02-18 07:53:10,055 [main] INFO  marytts.Preprocess Done.
2026-02-18 07:53:10,055 [main] INFO  marytts.Preprocess Power-on self test complete.
2026-02-18 07:53:10,055 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale de).
2026-02-18 07:53:10,196 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2026-02-18 07:53:10,196 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2026-02-18 07:53:10,196 [main] INFO  marytts.JPhonemiser_de Module started (PARTSOFSPEECH->PHONEMES, locale de).
2026-02-18 07:53:10,201 [main] INFO  marytts.JPhonemiser_de Starting power-on self test.
2026-02-18 07:53:10,202 [main] INFO  marytts.JPhonemiser_de Power-on self test complete.
2026-02-18 07:53:10,205 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale de).
2026-02-18 07:53:10,205 [main] INFO  marytts.Prosody Starting power-on self test.
2026-02-18 07:53:10,205 [main] INFO  marytts.Prosody Power-on self test complete.
2026-02-18 07:53:10,205 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale de).
2026-02-18 07:53:10,205 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2026-02-18 07:53:10,205 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2026-02-18 07:53:10,205 [main] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale de).
2026-02-18 07:53:10,205 [main] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
2026-02-18 07:53:10,206 [main] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2026-02-18 07:53:10,206 [main] INFO  marytts.LuxembourgishPreprocess Module started (TOKENS->WORDS, locale lb).
2026-02-18 07:53:10,206 [main] INFO  marytts.LuxembourgishPreprocess Starting power-on self test.
2026-02-18 07:53:10,434 [main] INFO  marytts.LuxembourgishPreprocess Power-on self test complete.
2026-02-18 07:53:10,436 [main] INFO  marytts.language.lb.EvenMoreMinimalisticPosTagger Module started (WORDS -> PARTSOFSPEECH, locale lb).
2026-02-18 07:53:10,436 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2026-02-18 07:53:10,436 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2026-02-18 07:53:10,436 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale lb).
2026-02-18 07:53:10,436 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2026-02-18 07:53:10,436 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2026-02-18 07:53:10,439 [main] INFO  marytts.UnitSelectionSynthesizer started.
2026-02-18 07:53:10,440 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->TARGETFEATURES, locale null).
2026-02-18 07:53:10,440 [main] INFO  marytts.HTSEngine Module started (TARGETFEATURES->AUDIO, locale null).
2026-02-18 07:53:10,452 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2026-02-18 07:53:10,488 [main] INFO  marytts.HMMData Loading GV Model Set:
2026-02-18 07:53:10,541 [main] INFO  marytts.Voice Registering voice `cmu-slt-hsmm': female, locale en_US
2026-02-18 07:53:10,541 [main] INFO  marytts.Voice New default voice for locale en_US: cmu-slt-hsmm (desire 0)
2026-02-18 07:53:10,541 [main] INFO  marytts.HMMSynthesizer started.
2026-02-18 07:53:10,541 [main] INFO  marytts.Synthesis Module started (ACOUSTPARAMS->AUDIO, locale null).
2026-02-18 07:53:10,541 [main] INFO  marytts.HMMSynthesizer Starting power-on self test.
2026-02-18 07:53:10,546 [main] INFO  marytts.HTSEngine Using prosody from acoustparams.
2026-02-18 07:53:10,546 [main] INFO  marytts.HTSEngine Number of models in sentence numModel=7  Total number of states numState=35
2026-02-18 07:53:10,546 [main] INFO  marytts.HTSEngine Total number of frames=147  Number of voiced frames=89
2026-02-18 07:53:10,550 [main] INFO  marytts.ParameterGeneration Parameter generation for MGC: 
2026-02-18 07:53:10,550 [main] INFO  marytts.PStream Context-dependent global variance optimization: gvLength = 107
2026-02-18 07:53:10,551 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=23
2026-02-18 07:53:10,558 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=54
2026-02-18 07:53:10,560 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=38
2026-02-18 07:53:10,560 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=20
2026-02-18 07:53:10,562 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=13
2026-02-18 07:53:10,562 [main] INFO  marytts.PStream Gradient GV optimization for feature: (5)  number of iterations=21
2026-02-18 07:53:10,562 [main] INFO  marytts.PStream Gradient GV optimization for feature: (6)  number of iterations=7
2026-02-18 07:53:10,564 [main] INFO  marytts.PStream Gradient GV optimization for feature: (7)  number of iterations=4
2026-02-18 07:53:10,564 [main] INFO  marytts.PStream Gradient GV optimization for feature: (8)  number of iterations=11
